http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
185.1.50.122    4        43554  141320 1920817 93442649    0    0 5w3d           69
185.1.50.125    4        29107   28736  291626 93442649    0    0 1w1d           46
185.1.50.126    4        20516  533561  621331 93442649    0    0 2w0d            8
185.1.50.128    4        48385  133162 3981491 93442649    0    0 12w6d           5
185.1.50.129    4        34743   35886  935257 93442649    0    0 3w0d            0
185.1.50.130    4        50949       0       0        1    0    0 never    Active
185.1.50.131    4        48964  147069 3807138 93442649    0    0 11w6d          66
185.1.50.132    4        35352  127446 3574809 93442649    0    0 10w5d           8
185.1.50.133    4        50864 1446251 7070945 93442649    0    0 24w3d           9
185.1.50.134    4        28761       0       0        1    0    0 1y21w    Active
185.1.50.136    4        34700   76443 2242626 93442649    0    0 6w5d           60
185.1.50.137    4        25133   91889 1061388 93442649    0    0 3w2d           87
185.1.50.138    4        47145       0       0        1    0    0 never    Active
185.1.50.139    4        12998  153645 2280312 93442649    0    0 6w5d           15
185.1.50.141    4        42458   86146 1388582 93442649    0    0 3w6d            1
185.1.50.143    4       197520   45655 1289600 93442649    0    0 3w6d            3
185.1.50.144    4        42510  122933 1910229 93442649    0    0 5w3d            8
185.1.50.145    4        49461  691414 9553057 93442649    0    0 31w3d          13
185.1.50.146    4         6768  465274 2372405 93442649    0    0 6w5d          798
185.1.50.147    4         6712  175076 2372592 93442649    0    0 6w5d          114
185.1.50.148    4         8343  261434 7252161 93442649    0    0 24w6d          71
185.1.50.149    4        31725  162203 2600497 93442649    0    0 7w2d            8
185.1.50.150    4        31343  314931 2424977 93442649    0    0 6w5d           11
185.1.50.151    4        20516       0       0        1    0    0 never    Active
185.1.50.152    4        59497   73617 1091397 93442649    0    0 3w1d           24
185.1.50.153    4        12578   72780  756245 93442649    0    0 2w2d          664
185.1.50.154    4       199450  126328 3674686 93442649    0    0 10w6d           2
185.1.50.155    4        49223  876903 10899134 93442649    0    0 38w0d          24
185.1.50.156    4        39928  310983 1670175 93442649    0    0 4w3d            3
185.1.50.158    4        28917 1152433 2372029 93442649    0    0 6w5d         3063
185.1.50.159    4        60173   75887 2151686 93442649    0    0 6w5d            1
185.1.50.160    4       198227  133318 2054288 93442649    0    0 6w0d            4
185.1.50.161    4        12662  161962 2503617 93442649    0    0 7w2d            1
185.1.50.162    4       200000  149540 2372233 93442649    0    0 6w5d           16
185.1.50.163    4        50581  201577 2460801 93442649    0    0 7w2d          409
185.1.50.164    4        49183  474712 6354174 93442649    0    0 20w5d          34
185.1.50.165    4        35213  157395 2279920 93442649    0    0 6w5d           34
185.1.50.166    4        15169  817540 8658185 93442649    0    0 28w2d         153
185.1.50.167    4        43668  113620 1190003 93442649    0    0 3w4d          176
185.1.50.168    4        42126       0       0        1    0    0 1y8w     Active
185.1.50.169    4        62206  176598 2371865 93442649    0    0 6w5d          124
185.1.50.170    4        51273   44438 1463880 93442649    0    0 4w2d            1
185.1.50.171    4        43139       0       0        1    0    0 46w6d    Idle
185.1.50.172    4        49029   20593  236539 93442649    0    0 6d15h           4
185.1.50.173    4        34312  115850  619488 93442649    0    0 1w5d            5
185.1.50.174    4        42504   71059  308317 93442649    0    0 1w0d            4
185.1.50.175    4        43658    9323  199188 93442649    0    0 5d19h           5
185.1.50.178    4        57463 1053998 1453827 93442649    0    0 4w2d         4546
185.1.50.179    4        60953  169813 4877051 93442649    0    0 16w4d           4
185.1.50.180    4        29074   74357 2366215 93442649    0    0 7w2d            7
185.1.50.181    4        50204    7549   79069 93442649    0    0 2d08h           8
185.1.50.182    4        43418 1851903 2366736 93442649    0    0 7w2d           25
185.1.50.184    4        28773  152585 2372633 93442649    0    0 6w5d           17
185.1.50.185    4        56835  443848 10942002 93442649    0    0 43w5d           3
185.1.50.187    4       196645    2112   32429 93442649    0    0 16:02:14       19
185.1.50.189    4        57864    9393  213594 93442649    0    0 6d09h          22
185.1.50.190    4        50581  202445 2365024 93442649    0    0 7w2d          409
185.1.50.191    4        41096   44278 1464829 93442649    0    0 4w2d           37
185.1.50.192    4       196777       0       0        1    0    0 never    Active
185.1.50.194    4        43110    8453   76468 93442649    0    0 2d06h         104
185.1.50.195    4        44416   39454 1058953 93442649    0    0 3w2d           14
185.1.50.196    4        50643   33585  213625 93442649    0    0 6d09h          22
185.1.50.197    4       200582   76526 1138727 93442649    0    0 3w3d            1
185.1.50.198    4        50643   36927  213615 93442649    0    0 6d09h          22
185.1.50.199    4        59497   72953 1091002 93442649    0    0 3w1d           16
185.1.50.200    4        34214  150065 2372459 93442649    0    0 6w5d            1
185.1.50.201    4        20940  146173 2372297 93442649    0    0 6w5d            2
185.1.50.202    4        49588   20205  229832 93442649    0    0 6d09h          11
185.1.50.203    4        13188  164368 4494735 93442649    0    0 14w5d         308
185.1.50.204    4       199995   82170 1069570 93442649    0    0 3w1d           64
185.1.50.205    4        56972       0       0        1    0    0 38w5d    Idle (Admin)
185.1.50.206    4        13188   86696 2242573 93442649    0    0 6w5d          556
185.1.50.207    4         6939 2849298  334793 93442649    0    0 3w1d        57188
185.1.50.208    4       201872  449626 10415631 93442649    0    0 39w5d          11
