http://as-ielo.net/lg
Sun Oct 28 18:03:04.743 UTC
RP/0/RSP0/CPU0:frpar-eqx3-a9k1#show bgp ipv4 unicast summary
Sun Oct 28 18:03:05.713 UTC
BGP router identifier 212.85.145.240, local AS number 29075
BGP generic scan interval 60 secs
Non-stop routing is enabled
BGP table state: Active
Table ID: 0xe0000000   RD version: 4294967295
BGP main routing table version 77256080
BGP NSR Initial initsync version 1680363908 (Reached)
BGP tunnel nexthop version 1
BGP scan interval 60 secs

BGP is operating in STANDALONE mode.


Process       RcvTblVer   bRIB/RIB   LabelVer  ImportVer  SendTblVer  StandbyVer
Speaker        77256080   77255677   77256080   77255677    77255677    77256079

Neighbor        Spk    AS MsgRcvd MsgSent   TblVer  InQ OutQ  Up/Down  St/PfxRcd
212.85.149.151    0 202069 7197332 59742754        0    0    0    1y01w Active
212.85.149.153    0 51985 1895054  984175 77255677    0    0     7w2d          5
212.85.149.171    0 203596 1678825 115987440 77255621    0    0    16w2d          3
212.85.149.177    0 197696 1194217 115945931 77255621    0    0     1w1d          1
212.85.149.185    0 31591 1095214 115993737 77255621    0    0    1y03w          0
212.85.149.187    0 34783  853477 104588340 77255621    0    0    1y24w          3
212.85.149.191    0 39781 2162754 66441539 77255621    0    0    18w3d          5
212.85.149.193    0 43930 1570317 103608708 77255621    0    0    14w2d          7
212.85.149.205    0 44583  750888  682350 77255677    0    0    32w2d          1
212.85.149.234    0 13273  546279 46626146 77255621    0    0     5w5d          5
