http://rs1.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::57         42909     290127    2850240     0 06w4d08h      2/600
2001:7f8:24::18          3856     290186    2782614     0 09w4d04h      1/600
2001:7f8:24::22          9092     289724    2782613     0 09w4d04h      1/600
91.206.52.199          198249     290723    1788957     0 01w5d21h      4/12000
91.206.52.24             3856     290186    1750717     0 09w4d04h      1/12000
91.206.52.34             9092     289729    1750717     0 09w4d04h      1/12000
91.206.52.87            42909     290127    1825641     0 06w4d08h      2/12000
91.206.52.180           64463     288910    1750717     0 09w4d04h      3/12000
2001:7f8:24::b4         64463     288910    2782615     0 09w4d04h      2/600
91.206.52.101           57118     290327    1750667     0 09w4d04h      8/12000
2001:7f8:24::65         57118     290345    2782692     0 09w4d04h      8/600
91.206.52.136           43284     288797    1750706     0 09w4d04h     13/12000
2001:7f8:24::88         43284     288759    2782867     0 09w4d04h      3/600
2001:7f8:24::29         60390     331624    2782871     0 09w4d04h      0/600
91.206.52.61            12041     309207    1787684     0 02w3d18h      0/12000
2001:7f8:24::47         34288     318273    2782872     0 09w4d04h      2/600
2001:7f8:24::56          2906     290182     369163     0 3d14h41m      5/600
2001:7f8:24::9e         41549     290253    2793712     0 04w3d14h      4/600
2001:7f8:24::3c        202194     319187    2782867     0 09w4d04h      3/600
2001:7f8:24::6d        198385     285420    2885289     0 01w5d14h      7/600
2001:7f8:24::55          2906     290178     369162     0 4d14h47m      5/600
2001:7f8:24::90         33965     290214    2782839     0 09w4d04h     15/600
91.206.52.121           41549     290332    1750706     0 09w4d04h     26/12000
2001:7f8:24::54         20932     290037    2815452     0 07w1d03h      3/600
2001:7f8:24::3d         12041     309244    2814722     0 02w3d17h    139/600
91.206.52.124           61174     290285    1750785     0 09w4d04h      5/12000
91.206.52.218          199811     331621    1750785     0 09w4d04h      4/12000
2001:7f8:24::ce          6775     330875    2839154     0 02w3d16h      0/600
91.206.52.150           34288     315403    1750787     0 09w4d04h      7/12000
2001:7f8:24::1b         31662     320328    2782870     0 09w4d04h      3/600
91.206.52.25            31736     290201    1750780     0 09w4d04h     23/12000
91.206.52.85             2906     290182     376543     0 4d14h35m      5/12000
91.206.52.27            31662     320336    1750759     0 09w4d04h     12/12000
91.206.52.144           33965     290289    1750707     0 09w4d04h     69/12000
2001:7f8:24::5b         41913     326304    2782181     0 09w4d04h      6/600
2001:7f8:24::96         34288     315403    2782874     0 09w4d04h      2/600
2001:7f8:24::14          6772     321466    2782838     0 09w4d04h      7/600
91.206.52.9             29691     322274    1750445     0 09w4d04h     42/12000
2001:7f8:24::9          29691     322478    2782612     0 09w4d04h     23/600
91.206.52.20             6772     321536    1750654     0 09w4d04h     35/12000
91.206.52.91            41913     321883    1750747     0 09w4d04h     24/12000
91.206.52.51            12553     331601    1750788     0 09w4d04h      1/12000
2001:7f8:24::91         61174     290173    2782891     0 09w4d04h      1/600
2001:7f8:24::79         41549     290302    2782898     0 09w4d04h      4/600
2001:7f8:24::19         31736     290171    2782961     0 09w4d04h      5/600
91.206.52.123           15517     290186    1750796     0 09w4d04h      5/12000
2001:7f8:24::d9         22822     321744     366138     0 09w4d04h     46/600
91.206.52.217           22822     321344     368285     0 09w4d04h    227/12000
2001:7f8:24::ae         49867     314523    2783026     0 09w4d04h      1/600
91.206.52.31            48461     290210    1750960     0 09w4d04h      5/12000
2001:7f8:24::b5          7713     294095    2827426     0 05w4d15h    178/600
91.206.52.45           198738     313462    1751002     0 09w4d04h      4/12000
91.206.52.86             2906     290185     376545     0 3d14h35m      5/12000
2001:7f8:24::7d        206616     609604    2901494     0 09w4d04h      1/600
2001:7f8:24::82         58299     330608    2826031     0 6d06h41m      4/600
2001:7f8:24::7b         15517     290188    2783084     0 09w4d04h      2/600
91.206.52.35             6776     290188    1763482     0 09w3d16h     17/12000
91.206.52.125          206616     609699    1969403     0 09w4d04h      1/12000
91.206.52.58            29075     335315    1749725     0 09w4d04h    384/12000
2001:7f8:24::33         12553     331627    2783166     0 09w4d04h      1/600
91.206.52.110           25563     321049    1763879     0 05w6d06h      4/12000
91.206.52.82            39764     313477    1751156     0 09w4d04h      1/12000
91.206.52.84            20932     290154    1762949     0 07w1d03h     19/12000
2001:7f8:24::23          6776     290193    2805717     0 03w4d03h      1/600
2001:7f8:24::9d         20984     314682    2783181     0 09w4d04h      1/600
2001:7f8:24::13         13250     313391    2783184     0 09w4d04h      1/600
2001:7f8:24::6e         25563     321043    2783185     0 09w4d04h      1/600
91.206.52.130           58299     330934    1812068     0 6d06h41m     29/12000
91.206.52.167           49489     321893    1751194     0 09w4d04h      2/12000
2001:7f8:24::3a         29075     314365    2783002     0 09w4d04h     84/600
91.206.52.37             9044     321983    1763713     0 3d15h53m     26/12000
91.206.52.149           15547     290539    1751180     0 09w4d04h     44/12000
91.206.52.81            15398     290198    1751190     0 09w4d04h      1/12000
2001:7f8:24::51         15398     290194    2783201     0 09w4d04h      1/600
91.206.52.12               42     313492    1751191     0 09w4d04h     57/12000
91.206.52.189           35054     313885    1750387     0 09w4d04h      2/12000
91.206.52.109          198385     291790    1878150     0 01w5d14h     18/12000
91.206.52.210           61287     321932    1751091     0 09w4d04h      5/12000
2001:7f8:24::a7         49489     321920    2783215     0 09w4d04h      1/600
91.206.52.13            41872     321869    1751212     0 09w4d04h     18/12000
91.206.52.75             8302     321975    1751127     0 09w4d04h      8/12000
91.206.52.23             8302     321855    1751120     0 09w4d04h      8/12000
2001:7f8:24::4b          8302     322007    2783204     0 09w4d04h      7/600
2001:7f8:24::b9         59622     433365    2782979     0 09w4d04h      9/600
2001:7f8:24::d2         61287     321954    2783196     0 09w4d04h      4/600
2001:7f8:24::3f         31662     321853    2783222     0 09w4d04h      3/600
2001:7f8:24::17          8302     321907    2783208     0 09w4d04h      7/600
91.206.52.63            31662     321868    1751186     0 09w4d04h     12/12000
91.206.52.185           59622     321898    1751222     0 09w4d04h      1/12000
91.206.52.212          204178     331519    1751216     0 09w4d04h      1/12000
91.206.52.157           20984     313490    1751212     0 09w4d04h      2/12000
91.206.52.15            15623     321254    1751089     0 09w4d04h     54/12000
2001:7f8:24::b0         25375     321847    2783226     0 09w4d04h      2/600
91.206.52.39            47176     313583    1750654     0 09w4d04h     31/12000
91.206.52.176           25375     321862    1751223     0 09w4d04h      6/12000
2001:7f8:24::da        199811     331727    2783230     0 09w4d04h      1/600
2001:7f8:24::2d        198738     313478    2783229     0 09w4d04h      1/600
2001:7f8:24::f          15623     329882    2783204     0 09w4d04h     12/600
91.206.52.30            28875     331211    1763653     0 08w3d05h      1/12000
91.206.52.205           24482     317519    1760323     0 05w4d15h    876/12000
91.206.52.214           62512     290192    1751219     0 09w4d04h      2/12000
91.206.52.19            13250     318579    1751218     0 09w4d04h      1/12000
91.206.52.145           61174     290287    1751216     0 09w4d04h      5/12000
2001:7f8:24::16         15576     387087    2807395     0 09w4d04h     46/600
2001:7f8:24::c             42     319250    2783229     0 09w4d04h     52/600
2001:7f8:24::6           8758     319140    2782594     0 09w4d04h     17/600
2001:7f8:24::95         15547     290215    2783232     0 09w4d04h      4/600
2001:7f8:24::35           559     290099    2804581     0 02w2d04h     12/600
91.206.52.6              8758     319871    1823848     0 09w4d04h     54/12000
2001:7f8:24::d6         62512     290192    2783232     0 09w4d04h      2/600
91.206.52.106          203969     324792    1751217     0 09w4d04h      2/12000
91.206.52.174           49867     313385    1751217     0 09w4d04h      2/12000
91.206.52.206            6775     330877    1813542     0 02w3d16h      2/12000
2001:7f8:24::27         47176     317254    2783204     0 09w4d04h      6/600
91.206.52.22            15576     387539    1809676     0 09w4d04h    175/12000
2001:7f8:24::1e         28875     331607    2794475     0 08w3d05h      1/600
91.206.52.181            7713     295206    1799034     0 05w4d15h   2273/12000
91.206.52.158           41549     290295    1763388     0 04w3d14h     26/12000
2001:7f8:24::7c         61174     290176    2783230     0 09w4d04h      1/600
2001:7f8:24::/64            0          0          0     0 Never    Template
2001:7f8:24::bf         33891    1239707    2794573     0 6d06h42m   1018/2500
2001:7f8:24::aa          6939    3022641     368398     0 09w4d04h  27905/35000
2001:7f8:24::8f          9002     363069    2771049     0 6d06h42m   1433/2000
91.206.52.0/23              0          0          0     0 Never    Template
91.206.52.142            3216      34236    2425775     0 03:23:42 Active
91.206.52.170            6939    1755066     377445     0 09w4d04h  56940/90000

success.
http://rs1.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::8e          3216          4       7328     0 00:04:29 Active
2001:7f8:24::21         24889      36590     199850     0 01w0d18h      3/600
91.206.52.33            24889      36579     204564     0 01w0d18h     10/12000
91.206.52.53              559      48433     291767     0 01w4d03h    124/12000
91.206.52.139           12347      12995    7123205     0 00:21:03 Idle
91.206.52.55            15623      60023     346784     0 6d07h17m     54/12000
2001:7f8:24::37         15623      60013     370989     0 6d07h17m     12/600
91.206.52.74            15169      75456      64796     0 6d07h17m    161/12000
91.206.52.10             1764      63131     393324     0 3d16h40m    777/12000
91.206.52.152            8075      60165     347534     0 6d07h16m      0/12000
91.206.52.168           25291      60492     350193     0 6d07h16m    143/12000
91.206.52.5             47147      60194     350799     0 6d07h16m      3/12000
91.206.52.102           49605      64205     350292     0 6d07h16m     32/12000
91.206.52.62            42336      60174     350517     0 6d07h16m      6/12000
91.206.52.95            15517      54716     350558     0 6d07h16m      5/12000
91.206.52.126           20612      59090     350904     0 6d07h17m      4/12000
91.206.52.140           47692      63336     348421     0 6d07h16m     73/12000
91.206.52.59            12333      59108     363658     0 6d07h17m      7/12000
91.206.52.172            8220      55248     347843     0 6d07h16m    555/12000
91.206.52.104           42085      54719     350828     0 6d07h17m      1/12000
91.206.52.127           20612      59101     350568     0 6d07h17m      4/12000
91.206.52.44            16242      59111     350901     0 6d07h17m     13/12000
91.206.52.93            16265      54713      73546     0 6d07h16m      0/12000
91.206.52.99             5385      54741     348494     0 6d07h16m     29/12000
91.206.52.18             9100      63675     350858     0 6d07h17m     13/12000
91.206.52.197           51873      54718     350849     0 6d07h16m      4/12000
91.206.52.153           13101      54751     350536     0 6d07h16m     41/12000
91.206.52.175           34309      60439     349542     0 6d07h16m    180/12000
91.206.52.137            9009      54723     363394     0 6d07h16m     15/12000
91.206.52.28            29655      60734     350941     0 6d07h17m     15/12000
91.206.52.155           12387      54762     350393     0 6d07h16m     39/12000
91.206.52.113          205073      59129     350928     0 6d07h17m      4/12000
91.206.52.141           59891      62308     363699     0 6d07h16m      9/12000
91.206.52.216          202032      62482     363337     0 3d01h44m      1/12000
91.206.52.154           51262      62470     350568     0 6d07h16m      2/12000
91.206.52.57            51184      62420     350586     0 6d07h16m      9/12000
91.206.52.133           39063      54723     350942     0 6d07h17m      1/12000
91.206.52.3             13030      60684     350822     0 6d07h17m      0/12000
91.206.52.17            31424      84653     350909     0 6d07h17m     37/12000
91.206.52.2              8758      60728     350928     0 6d07h17m     54/12000
91.206.52.209           29545      62584     348610     0 6d07h16m     14/12000
91.206.52.135          198288      62530     402104     0 6d07h16m      5/12000
91.206.52.54            34554      71246     350927     0 6d07h17m      6/12000
91.206.52.38            59890      59093     348595     0 6d07h17m      5/12000
91.206.52.40            48362      59143     350935     0 6d07h17m     14/12000
91.206.52.111          200924      54453     350948     0 6d07h16m      6/12000
91.206.52.120           42760      62528     363336     0 6d07h16m      5/12000
91.206.52.179           49983     114903     406189     0 6d07h16m      4/12000
91.206.52.191           33891      59866     350504     0 6d07h16m      0/12000
91.206.52.65            51395      59779     350732     0 6d07h17m     28/12000
91.206.52.8             20634      60713     350695     0 6d07h17m     15/12000
91.206.52.36            62035      60178     350899     0 6d07h16m      1/12000
91.206.52.171            3303      60742     350650     0 6d07h16m    535/12000
91.206.52.165           48885      60721     350646     0 6d07h17m      9/12000
91.206.52.132           30786      54497     350933     0 6d07h17m      1/12000
2001:7f8:24::26         59890      59416     374778     0 6d07h17m      1/600
91.206.52.29            24951      59135     350633     0 6d07h17m     25/12000
91.206.52.94             1836      59878     350958     0 6d07h16m      0/12000
91.206.52.14             9044      60739     350780     0 6d07h17m     46/12000
91.206.52.98            59761      62478     350941     0 6d07h16m      2/12000
91.206.52.108          197964      64100     350666     0 6d07h17m      2/12000
91.206.52.202            2686      60190     350909     0 6d07h16m     13/12000
91.206.52.131           25581      63869     350983     0 6d07h17m      3/12000
91.206.52.56            20940      59882      71817     0 6d07h17m     10/12000
91.206.52.163            8453      59097     350648     0 6d07h17m      2/12000
91.206.52.211           61287      60676     350565     0 6d07h17m      5/12000
91.206.52.161          204631      62493     350869     0 6d07h16m      3/12000
2001:7f8:24::99         13101      54729     375278     0 6d07h16m      4/600
2001:7f8:24::a           1764      61019     408854     0 3d16h40m    172/600
2001:7f8:24::5d         16265      54752      79805     0 6d07h16m     49/600
2001:7f8:24::c5         51873      54734     375097     0 6d07h16m      2/600
2001:7f8:24::66         49605      64256     374982     0 6d07h16m     12/600
2001:7f8:24::8c         47692      63179     373644     0 6d07h16m     16/600
2001:7f8:24::b2         25435      54361    2102493     0 2d18h55m      1/600
2001:7f8:24::6f        200924      54461     375036     0 6d07h15m      5/600
2001:7f8:24::4a         15169      64028      77614     0 6d07h17m     27/600
2001:7f8:24::63          5385      54752     374634     0 6d07h16m      5/600
2001:7f8:24::9b         12387      54744     375133     0 6d07h16m      7/600
2001:7f8:24::5f         15517      54734     375120     0 6d07h16m      2/600
2001:7f8:24::5          47147      60215     375486     0 6d07h16m      2/600
2001:7f8:24::84         30786      54512     375541     0 6d07h17m      1/600
2001:7f8:24::85         39063      54740     375520     0 6d07h17m      1/600
2001:7f8:24::3e         42336      60197     387154     0 6d07h16m      0/600
2001:7f8:24::24         62035      60197     375716     0 6d07h16m      1/600
2001:7f8:24::a8         25291      61920     373904     0 6d07h16m     65/600
2001:7f8:24::2b         35223      53553     375754     0 6d07h16m      1/600
91.206.52.187          197439      59165     350766     0 6d07h17m      1/12000
2001:7f8:24::af         34309      59201     375814     0 6d07h16m      8/600
2001:7f8:24::12          9100      59767     375863     0 6d07h17m      2/600
2001:7f8:24::78         42760      62476     387010     0 6d07h16m      1/600
2001:7f8:24::62         59761      62466     375464     0 6d07h16m      1/600
2001:7f8:24::a3          8453      60122     376240     0 6d07h17m      8/600
2001:7f8:24::3b         12333      59105     387635     0 6d07h17m      1/600
2001:7f8:24::28         48362      59132     375828     0 6d07h17m      4/600
2001:7f8:24::8          20634      60723     375828     0 6d07h17m      4/600
2001:7f8:24::41         51395      59789     376126     0 6d07h17m     43/600
2001:7f8:24::b3         49983     114987     417747     0 6d07h17m      1/600
2001:7f8:24::87        198288      62533     421140     0 6d07h16m      3/600
2001:7f8:24::39         51184      62381     375872     0 6d07h16m      5/600
2001:7f8:24::11         31424     113313     375790     0 6d07h17m     15/600
2001:7f8:24::38         20940      59889      77494     0 6d07h17m      1/600
2001:7f8:24::b8         20984      59334     375849     0 6d07h17m      1/600
2001:7f8:24::d8        202032      62495     387260     0 3d01h44m      1/600
2001:7f8:24::d1         29545      62560     374948     0 6d07h16m      1/600
2001:7f8:24::7f         20612      59125     375849     0 6d07h17m      2/600
2001:7f8:24::ca          2686      60222     375808     0 6d07h16m      9/600
91.206.52.134          203340      60343     351055     0 6d07h17m      1/12000
2001:7f8:24::2           8758      60805     376081     0 6d07h17m     17/600
91.206.52.254           25152      62515     363864     0 6d07h16m      1/12000
