https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::b4         64463     302213    2826868     0 10w0d06h      2/600
91.206.52.101           57118     303634    1797731     0 10w0d06h      8/12000
2001:7f8:24::65         57118     303652    2826945     0 10w0d06h      8/600
91.206.52.136           43284     302040    1797770     0 10w0d06h     13/12000
2001:7f8:24::88         43284     302000    2827120     0 10w0d06h      3/600
2001:7f8:24::29         60390     346844    2827124     0 10w0d06h      0/600
2001:7f8:24::47         34288     332863    2827122     0 10w0d06h      2/600
2001:7f8:24::3c        202194     333820    2827120     0 10w0d06h      3/600
2001:7f8:24::6d        198385     298498    2929542     0 02w1d16h      7/600
91.206.52.124           61174     303628    1797845     0 10w0d06h      5/12000
91.206.52.218          199811     346823    1797849     0 10w0d06h      4/12000
2001:7f8:24::1b         31662     335019    2827123     0 10w0d06h      3/600
91.206.52.27            31662     335018    1797823     0 10w0d06h     12/12000
91.206.52.9             29691     337030    1797508     0 10w0d06h     42/12000
2001:7f8:24::9          29691     337259    2826849     0 10w0d06h     23/600
91.206.52.51            12553     346801    1797852     0 10w0d06h      1/12000
2001:7f8:24::7d        206616     637584    2957949     0 10w0d06h      1/600
2001:7f8:24::82         58299     345798    2870280     0 01w2d08h      4/600
91.206.52.125          206616     637646    2029417     0 10w0d06h      1/12000
91.206.52.58            29075     349919    1796716     0 10w0d06h    382/12000
2001:7f8:24::33         12553     346832    2827419     0 10w0d06h      1/600
91.206.52.130           58299     346119    1859130     0 01w2d08h     29/12000
91.206.52.167           49489     336657    1798257     0 10w0d06h      2/12000
2001:7f8:24::3a         29075     328766    2827238     0 10w0d06h     84/600
91.206.52.12               42     327875    1798255     0 10w0d06h     57/12000
91.206.52.109          198385     305912    1925212     0 02w1d16h     17/12000
91.206.52.210           61287     336696    1799205     0 1d18h42m      5/12000
2001:7f8:24::a7         49489     336663    2827468     0 10w0d06h      1/600
91.206.52.13            41872     336629    1798275     0 10w0d06h     18/12000
91.206.52.75             8302     336732    1798188     0 10w0d06h      8/12000
91.206.52.23             8302     336613    1798182     0 10w0d06h      8/12000
2001:7f8:24::4b          8302     336784    2827457     0 10w0d06h      7/600
2001:7f8:24::b9         59622     453510    2827186     0 10w0d06h      8/600
2001:7f8:24::d2         61287     336718    2827449     0 10w0d06h      4/600
2001:7f8:24::17          8302     336687    2827461     0 10w0d06h      7/600
91.206.52.185           59622     336640    1798285     0 10w0d06h      1/12000
91.206.52.39            47176     327949    1797483     0 10w0d06h     31/12000
2001:7f8:24::da        199811     346946    2827483     0 10w0d06h      1/600
91.206.52.30            28875     346389    1810717     0 08w6d07h      1/12000
91.206.52.214           62512     303497    1798283     0 10w0d06h      2/12000
2001:7f8:24::16         15576     404837    2855520     0 10w0d06h     46/600
2001:7f8:24::c             42     333875    2827482     0 10w0d06h     52/600
2001:7f8:24::6           8758     333704    2826819     0 10w0d06h     17/600
91.206.52.6              8758     334431    1870912     0 10w0d06h     54/12000
2001:7f8:24::d6         62512     303497    2827485     0 10w0d06h      2/600
91.206.52.106          203969     339684    1798281     0 10w0d06h      2/12000
2001:7f8:24::27         47176     331870    2827457     0 10w0d06h      6/600
91.206.52.22            15576     405293    1860935     0 10w0d06h    174/12000
2001:7f8:24::1e         28875     346812    2838728     0 08w6d07h      1/600
2001:7f8:24::7c         61174     303481    2827481     0 10w0d06h      1/600
2001:7f8:24::/64            0          0          0     0 Never    Template
2001:7f8:24::bf         33891    1291225    2838427     0 01w2d08h   1024/2500
2001:7f8:24::aa          6939    3057347     378435     0 05:58:34  27982/35000
2001:7f8:24::8f          9002     379371    2814509     0 01w2d08h   1435/2000
91.206.52.0/23              0          0          0     0 Never    Template
91.206.52.142            3216      34311    2497075     0 00:04:59 Idle
91.206.52.170            6939    1785372     389586     0 05:55:51  56532/90000

success.
