#lg	asn	description
http://lg.devclic.net	44141	Devclic
http://lg.airexpress.net.ua	 48415  	 AirExpress (Zhytomyr, Ukraine)  
http://noc.unilogicnetworks.net/lg	28788	UnilogicNetworksB.V.
http://lg.lan.switch.ch/lg/lg.cgi	 559  	 SWITCH  
http://noc.ip2.net/lg/lg.cgi	34486	 IP2 Internet B.V. 
http://pttbotafogo.moebius.com.br/PTT/ptt_lookingglass.php	28338	 NB Telecom 
http://lg.magnet.ie	34245	MagnetNetworks
https://www.linx.net/pubtools/looking-glass.html	8714	LINX
http://www.csc.fi/funet/status/tools/lg.pl	1741	CSC/Funet
http://lg.gtdinternet.com/cgi-bin/lg.cgi	14259	Gtd
http://lg.adg.com.br	28289	 Americana Digital 
http://lg.lan.switch.ch/lg/6lg.cgi	 559  	 SWITCH  
http://lg.rusnet.ru	3277	RUSnet
http://noc.ihome.ru/lg/	25478	 iHome LLC 
http://noc.i3d.net/lg/lg.cgi	49544	 Interactive 3D BV 
http://www.hea.net/cgi-bin/lg.cgi  	 1213  	 HEAnet  
http://www.as8681.net/klg.php	8681	JT
http://lg.centauricom.com/lg	64601	 Centauri Communications, Inc  
http://rogue.viatel.net/rancidlg/lgform.cgi	8190	MDNX
http://www.as29527.net/lg	29527	OthelloTechnologySystemsLtd.
http://www2.pt.lu/lg	 6661  	 P&T Luxembourg  
http://lg.as15469.net	15469	 Warinet Global Services SA 
http://lg.solnet.ch	9044	SolNet
https://noc.commcorp.net.br/pub/lg/	14840	 Commcorp Telecom 
http://drift.uninett.no/cgi-bin/lg.cgi	224	 UNINETT  
http://www.nordu.net/connectivity/looking-glass/lg.cgi  	 2603  	 NORDUnet  
http://looking-glass.iinet.net.au/lg	4802	iiNet
http://www.docler.net/lg/	34655	 Docler Networks 
http://lg.megafon.ru	31133	MegaFon
http://lg.iveloz.net.br	52866	 IVeloz Telecomunica횄�횂짠횄�횂쨉es 
https://www.noris.net/cgi-bin/lg/lg.cgi 	12337	norisnetworkAG
