https://support.linx.net/cgi-bin/rs/members/rslg
{'arg': '', 'rs': 'rs2.lon2', 'query': 'summary'}

Neighbor IP                     AS Number         Since                State         Prefixes Rcvd
195.66.239.41                         200083      2018-10-22 17:13:50  Established               2
195.66.239.53                          36902      2018-09-14 00:56:17  Established              10
195.66.239.55                          59701      2018-09-26 00:22:22  Established              11
195.66.239.57                         133372      2018-08-31 01:50:47  Established              18
195.66.239.61                          57653      2018-09-14 01:58:59  Established               1
195.66.239.67                          61323      2018-09-14 05:20:05  Established               3
195.66.239.68                         202867      2018-09-14 03:48:53  Established               4
195.66.239.73                          49158      2018-08-22 03:03:11  Established               4
195.66.239.75                          62955      2018-08-16 00:13:36  Established              29
195.66.239.77                         206999      2018-09-26 10:18:08  Established               6
195.66.239.82                          27630      2018-10-11 18:44:56  Established               8
195.66.239.83                         327814      2018-10-10 10:59:40  Established              66
195.66.239.84                          60800      2018-09-11 02:05:20  Established              11
195.66.239.9                          201126      2018-10-14 22:42:49  Established              10
195.66.239.93                          36351      2018-08-16 00:14:10  Established            1041
195.66.239.98                          62227      2018-10-20 20:07:35  Established               1
