https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.202            2686      70927     378661     0 01w1d13h     13/12000
91.206.52.131           25581      75246     378735     0 01w1d13h      3/12000
91.206.52.56            20940      70557      87363     0 01w1d13h     10/12000
91.206.52.163            8453      69640     378400     0 01w1d13h      2/12000
91.206.52.211           61287      71506     378300     0 01w1d13h      5/12000
91.206.52.161          204631      73633     378621     0 01w1d13h      3/12000
2001:7f8:24::99         13101      64492     401560     0 01w1d13h      4/600
2001:7f8:24::a           1764      71784     435105     0 5d22h55m    172/600
2001:7f8:24::5d         16265      64514      92945     0 01w1d13h     49/600
2001:7f8:24::c5         51873      64496     401379     0 01w1d13h      2/600
2001:7f8:24::66         49605      75713     401239     0 01w1d13h     13/600
2001:7f8:24::8c         47692      74426     399608     0 01w1d13h     18/600
2001:7f8:24::b2         25435      64056    2272407     0 00:25:31      1/600
2001:7f8:24::6f        200924      64175     401318     0 01w1d13h      5/600
2001:7f8:24::4a         15169      75440      90230     0 01w1d13h     27/600
2001:7f8:24::63          5385      64522     400882     0 01w1d13h      5/600
2001:7f8:24::9b         12387      64507     401415     0 01w1d13h      7/600
2001:7f8:24::5f         15517      64498     401395     0 01w1d13h      2/600
2001:7f8:24::5          47147      70954     401768     0 01w1d13h      2/600
2001:7f8:24::84         30786      64232     401823     0 01w1d13h      1/600
2001:7f8:24::85         39063      64502     401802     0 01w1d13h      1/600
2001:7f8:24::3e         42336      70939     413436     0 01w1d13h      0/600
2001:7f8:24::24         62035      70935     401998     0 01w1d13h      1/600
2001:7f8:24::a8         25291      72968     399958     0 01w1d13h     64/600
2001:7f8:24::2b         35223      63089     402036     0 01w1d13h      1/600
91.206.52.187          197439      69712     378518     0 01w1d13h      1/12000
2001:7f8:24::af         34309      69782     402087     0 01w1d13h      8/600
2001:7f8:24::12          9100      70431     402145     0 01w1d13h      2/600
2001:7f8:24::78         42760      73633     413292     0 01w1d13h      1/600
2001:7f8:24::62         59761      73606     401746     0 01w1d13h      1/600
2001:7f8:24::a3          8453      70744     402522     0 01w1d13h      8/600
2001:7f8:24::3b         12333      69650     413917     0 01w1d13h      1/600
2001:7f8:24::28         48362      69681     402110     0 01w1d13h      4/600
2001:7f8:24::8          20634      71560     402110     0 01w1d13h      4/600
2001:7f8:24::41         51395      70473     402391     0 01w1d13h     43/600
2001:7f8:24::b3         49983     135509     452951     0 01w1d13h      1/600
2001:7f8:24::87        198288      73698     447422     0 01w1d13h      3/600
2001:7f8:24::39         51184      73490     402154     0 01w1d13h      5/600
2001:7f8:24::11         31424     130074     402047     0 01w1d13h     16/600
2001:7f8:24::38         20940      70564      90083     0 01w1d13h      1/600
2001:7f8:24::b8         20984      69916     402129     0 01w1d13h      1/600
2001:7f8:24::d8        202032      73651     413542     0 5d07h59m      1/600
